"crop;disease;visual_description;treatment;formality"
"Corn;Gray Leaf Spot;It's like the leaves got peppered with brown spots, making them look like a hot mess!;Spray 'em down with fungicide and let's clean up this leafy act!;informal"
"Corn;Gray Leaf Spot;Looks like someone took a paintbrush and splattered tiny brown dots all over the leaves!;Just spray 'em with fungicide and let's tidy up this leafy canvas!;informal"
"Corn;Gray Leaf Spot;The leaves are sporting some brown spots with darker edges, like they got into a fight with some paint!;Hit 'em with fungicide and let's make those spots regret showing up!;informal"
"Corn;Gray Leaf Spot;The leaves are looking like they got chickenpox, but instead of red spots, they're brown and ugly!;Spray 'em with fungicide and let's cure this leafy rash!;informal"
"Corn;Gray Leaf Spot;The leaves seem to have caught some brown spots, like they got infected with leafy measles!;Blast 'em with fungicide and let's get rid of this leafy disease!;informal"
"Corn;Gray Leaf Spot;Looks like someone spilled coffee on the leaves, leaving behind small brown stains all over!;Spray 'em with fungicide and let's clean up this leafy spill!;informal"
"Corn;Gray Leaf Spot;The leaves are all speckled with brown spots, like they've been visited by the polka dot fairy... from hell!;Give 'em a good spray with fungicide and let's banish these spots to leafy oblivion!;informal"
"Corn;Gray Leaf Spot;It's like the leaves are playing host to a brown spot party, and everyone's invited!;Spray 'em with fungicide and let's crash this leafy shindig!;informal"
"Corn;Gray Leaf Spot;The leaves are sporting some brown spots, making them look like they've been through a mud wrestling match!;Hit 'em with fungicide and let's clean up this leafy mess!;informal"
"Corn;Gray Leaf Spot;Looks like the leaves got some brown spots, like they've been peppered with leafy bullets!;Spray 'em with fungicide and let's dodge this leafy gunfire!;informal"
"Corn;Gray Leaf Spot;It's like the leaves are wearing camouflage, but instead of green, it's brown spots all over!;Give 'em a good spray with fungicide and let's unveil these leafy imposters!;informal"
"Corn;Gray Leaf Spot;The leaves seem to have caught some brown spots, like they've been marked by the leafy mafia!;Blast 'em with fungicide and let's make these spots an offer they can't refuse!;informal"
"Corn;Gray Leaf Spot;Looks like someone took a hole punch to the leaves, but instead of holes, it's leaving behind brown spots!;Spray 'em with fungicide and let's patch up this leafy punch card!;informal"
"Corn;Gray Leaf Spot;The leaves are all dotted with brown spots, like they're playing a game of leafy connect the dots... with a broken pencil!;Hit 'em with fungicide and let's complete this leafy masterpiece!;informal"
"Corn;Gray Leaf Spot;It's like the leaves got a case of the brown spot blues, with spots all over the place!;Spray 'em down with fungicide and let's sing a leafy tune of goodbye to these spots!;informal"
"Corn;Gray Leaf Spot;The leaves are looking like they've been hit with a brown spot tsunami, with spots washing over everything!;Blast 'em with fungicide and let's dry up this leafy flood!;informal"
"Corn;Gray Leaf Spot;Looks like the leaves got a polka dot makeover, but instead of colorful dots, they're brown and depressing!;Give 'em a good spray with fungicide and let's restore some leafy dignity!;informal"
"Corn;Gray Leaf Spot;The leaves are all freckled with brown spots, like they've been kissed by a rusty leaf fairy!;Spray 'em with fungicide and let's wipe away these leafy kisses!;informal"
"Corn;Gray Leaf Spot;It's like the leaves got a case of the brown spot pox, with spots popping up everywhere!;Hit 'em with fungicide and let's vaccinate these leaves against this leafy disease!;informal"
"Corn;Gray Leaf Spot;The leaves are looking like they've been splattered with brown paint, with spots covering everything!;Spray 'em down with fungicide and let's clean up this leafy art project!;informal"
"Corn;Gray Leaf Spot;Looks like the leaves got some brown spots, like they've been marked by the leafy graffiti gang!;Blast 'em with fungicide and let's wipe away this leafy vandalism!;informal"
"Corn;Gray Leaf Spot;The leaves seem to have caught some brown spots, like they've been infected with a leafy virus!;Give 'em a good spray with fungicide and let's cure this leafy ailment!;informal"
"Corn;Gray Leaf Spot;It's like the leaves are wearing polka dot pajamas, but instead of cute dots, they're brown and ugly!;Spray 'em with fungicide and let's tuck these leafy spots into bed for good!;informal"
"Corn;Gray Leaf Spot;The leaves are looking like they've been through a brown spot hailstorm, with spots raining down!;Hit 'em with fungicide and let's weather this leafy storm!;informal"
"Corn;Gray Leaf Spot;Looks like the leaves got a case of the brown spot chickenpox, with spots all over!;Spray 'em down with fungicide and let's quarantine these leafy spots!;informal"
"Corn;Gray Leaf Spot;The leaves are all splattered with brown spots, like they've been used for target practice!;Blast 'em with fungicide and let's hit the bullseye on these leafy targets!;informal"
"Corn;Gray Leaf Spot;It's like the leaves are playing host to a brown spot invasion, with spots conquering territory!;Give 'em a good spray with fungicide and let's repel this leafy invasion!;informal"
"Corn;Gray Leaf Spot;Looks like someone sprinkled cinnamon on the leaves, but instead of tasty, it's just brown spots!;Spray 'em with fungicide and let's clean up this leafy spice mess!;informal"
"Corn;Gray Leaf Spot;The leaves are all freckled with brown spots, like they've been out in the sun too long!;Hit 'em with fungicide and let's give these leaves some shade from these leafy spots!;informal"
"Corn;Gray Leaf Spot;It's like the leaves got a case of the brown spot chickenpox, with spots all over!;Spray 'em down with fungicide and let's quarantine these leafy spots!;informal"
"Corn;Gray Leaf Spot;Looks like the leaves got a case of the brown spot blues, with spots all over the place!;Blast 'em with fungicide and let's sing a leafy tune of goodbye to these spots!;informal"
"Corn;Gray Leaf Spot;The leaves are looking like they've been hit with a brown spot tsunami, with spots washing over everything!;Give 'em a good spray with fungicide and let's dry up this leafy flood!;informal"
"Corn;Gray Leaf Spot;Looks like the leaves got some brown spots, like they've been marked by the leafy graffiti gang!;Hit 'em with fungicide and let's wipe away this leafy vandalism!;informal"
"Corn;Gray Leaf Spot;The leaves seem to have caught some brown spots, like they've been infected with a leafy virus!;Spray 'em with fungicide and let's cure this leafy ailment!;informal"
"Corn;Gray Leaf Spot;It's like the leaves are wearing polka dot pajamas, but instead of cute dots, they're brown and ugly!;Blast 'em with fungicide and let's tuck these leafy spots into bed for good!;informal"
"Corn;Gray Leaf Spot;The leaves are looking like they've been through a brown spot hailstorm, with spots raining down!;Give 'em a good spray with fungicide and let's weather this leafy storm!;informal"
"Corn;Gray Leaf Spot;Looks like the leaves got a case of the brown spot chickenpox, with spots all over!;Spray 'em down with fungicide and let's quarantine these leafy spots!;informal"
"Corn;Gray Leaf Spot;The leaves are all splattered with brown spots, like they've been used for target practice!;Hit 'em with fungicide and let's hit the bullseye on these leafy targets!;informal"
"Corn;Gray Leaf Spot;It's like the leaves are playing host to a brown spot invasion, with spots conquering territory!;Blast 'em with fungicide and let's repel this leafy invasion!;informal"
"Corn;Gray Leaf Spot;Looks like someone sprinkled cinnamon on the leaves, but instead of tasty, it's just brown spots!;Spray 'em with fungicide and let's clean up this leafy spice mess!;informal"
"Corn;Gray Leaf Spot;The leaves are all freckled with brown spots, like they've been out in the sun too long!;Hit 'em with fungicide and let's give these leaves some shade from these leafy spots!;informal"
"Corn;Gray Leaf Spot;It's like the leaves got a case of the brown spot chickenpox, with spots all over!;Spray 'em down with fungicide and let's quarantine these leafy spots!;informal"
